方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
十全大补汤,补益剂,人参：，6g；肉桂：去粗皮&不见火，3g；川芎：，6g；地黄：洗&酒蒸&焙，12g；茯苓：，9g；白术：焙，9g；甘草：炙，3g；黄芪：去芦，12g；川当归：洗&去芦，9g；白芍药：，9g；水：，一盏；生姜：，三片；枣子：，二个；
泰山磐石散,补益剂,人参：，3g；黄芪：，3g；白术：，2g；炙甘草：，2g；当归：，3g；川芎：，2g；白芍药：，2g；熟地黄：，3g；川续断：，3g；糯米：，2g；黄苓：，3g；砂仁：，2g；
保产无忧散,补益剂,当归：酒洗，5g；炒黑芥穗：，2.5g；川芎：，5g；艾叶：炒，2g；面炒枳壳：，2g；炙黄芪：，2.5g；菟丝子：酒炒，5g；厚朴：姜炒，2g；羌活：，1.5g；川贝母：去心，3g；白芍：酒炒，4g；甘草：，1.5g；姜：，三片
六味地黄丸,补益剂,熟地黄：炒，24g；山萸肉：，12g；干山药：，12g；泽泻：，9g；牡丹皮：，9g；茯苓：去皮，9g；
知柏地黄丸,补益剂,熟地黄：炒，24g；山萸肉：，12g；干山药：，12g；泽泻：，9g；牡丹皮：，9g；茯苓：去皮，9g；知母：盐炒，6g；黄柏：盐炒，6g；
杞菊地黄丸,补益剂,熟地黄：炒，24g；山萸肉：，12g；干山药：，12g；泽泻：，9g；牡丹皮：，9g；茯苓：去皮，9g；枸杞子：，9g；菊花：，9g；
都气丸,补益剂,熟地黄：炒，24g；山萸肉：，12g；干山药：，12g；泽泻：，9g；牡丹皮：，9g；茯苓：去皮，9g；五味子：，6g；
麦味地黄丸,补益剂,熟地黄：炒，24g；山萸肉：，12g；干山药：，12g；泽泻：，9g；牡丹皮：，9g；茯苓：去皮，9g；麦冬：，15g；五味子：，15g；
左归丸,补益剂,大怀熟地：，24g；山药：炒，12g；枸杞：，12g；山茱萸：，12g；川牛膝：酒洗&蒸熟，9g；鹿角胶：敲碎&炒珠，12g；龟板胶：切碎&炒珠，12g；菟丝子：制，12g；
左归饮,补益剂,熟地：，9~30g；山药：，6g；枸杞子：，6g；炙甘草：，3g；茯苓：，4.5g；山茱萸：，3~6g；
大补阴丸,补益剂,熟地：酒蒸，18g；龟板：酥炙，18g；黄柏：炒褐色，12g；知母：酒浸&炒，12g；
一贯煎,补益剂,北沙参：，9g；麦冬：，9g；当归身：，9g；生地黄：，18g；枸杞子：，9g；川楝子：，6g；
百合固金汤,补益剂,熟地：，9g；生地：，9g；归身：，9g；白芍：，3g；甘草：，3g；桔梗：，3g；玄参：，3g；贝母：，6g；麦冬：，6g；百合：，6g；
益胃汤,补益剂,沙参：，9g；麦冬：，15g；冰糖：，3g；细生地：，15g；玉竹：炒香，4.5g；
肾气丸,补益剂,干地黄：，24g；山药：，12g；山茱萸：，12g；泽泻：，9g；茯苓：，9g；牡丹皮：，9g；桂枝：，3g；附子：炮，3g；
加味肾气丸,补益剂,附子：炮，15g；白茯苓：，30g；泽泻：，30g；山茱萸：取肉，30g；山药：炒，30g；车前子：酒蒸，30g；牡丹皮：去木，30g；宫桂：不见火，15g；川牛藤：去芦&酒浸，15g；熟地黄：，15g；
十补丸,补益剂,附子：炮&去皮&脐，9g；五味子：，9g；山茱萸：取肉，4.5g；山药：锉&炒，4.5g；牡丹皮：去木，4.5g；鹿茸：去毛&酒蒸，4.5g；熟地黄：酒蒸：，4.5g；肉桂：去皮&不见火，4.5g；白茯苓：去皮，4.5g；泽泻：，4.5g；
右归丸,补益剂,熟地黄：，24g；山药：炒，12g；山茱萸：微炒，9g；枸杞子：微炒，12g；菟丝子：制，12g；鹿角胶：炒珠，12g；杜仲：姜汁炒，12g；肉桂：，6g；当归：，9g；制附子：，6g；
右归饮,补益剂,熟地：，9g；山药：炒，6g；枸杞子：，6g；山茱萸：，3g；甘草：炙，3g；肉桂：，3g；杜仲：姜制，6g；制附子：，6g；
地黄饮子,补益剂,熟干地黄：，18~30g；巴戟天：去心，9g；啥茱萸：，9g；石斛：，9g；肉苁蓉：酒浸&焙，9g；附子：炮，6g；五味子：，6g；官桂：，6g；白茯苓：，6g；麦门冬：去心，6g；石菖蒲：，6g；远志：去心，6g；
龟鹿二仙胶,补益剂,鹿角：用新鲜麋鹿杀角&解的不用&马鹿角不用&去角脑梢&角二寸截断&劈开净用，5000g；龟板：去弦&洗净&捶碎，2500g；人参：，450g；枸杞子：，900g；
